code,name,brand,model,category,supplier_id,purchase_price,retail_price,active,barcode,old_id
RA20487,طبوا بلاستك 63ضغط 16,شركة الغزالة لمواد البناء,,مواسير - طوبو,571d2375-1774-6730-7af4-8df56a1d7a88,79.998,85.000,t,,210005018
RA20029,كواردة 25 لحام FIRAT,فرات,بي بي ر - PPR,كواردة,1054307a-87a0-d4d2-fe16-bd905fe6a04b,4.845,10.000,t,,310002592
ME10023,حنفية حوض المطبخ شجرة كروم,شيزا,SIGMA,حنفية حوض المطبخ,3f8e1d44-c2e4-cecd-ff29-48dc418eba21,27.000,75.000,t,,210002753
ARSB80080,شطاف ظغط دائري مع طوبو كروم,فينوس,AHF14,شطاف,0dafba13-51f2-fc5a-eab7-f16d55bcce40,43.000,85.000,t,,210002676
PA30444,متر 100 رولينة قماش,فندر,,أدوات القياس والتتبع,f330aa66-9a8a-90ee-d535-6c68ff14b0de,19.500,40.000,t,,210004958
AM0127,دولاب حمام بالملحق مع مرايا لد -80 سم,سانيتاري ويرز,9126C,دولاب حمام,f68c4a72-8eb2-7563-07ad-b344ff9fe960,955.000,1750.000,t,,210004288
MC10225,سرفنتينة 15 سم * 15 سم كروم,سانيتاري ويرز,,مجرى,dc6e5eb0-a2c4-7fc8-161c-528f389f29cc,75.000,65.000,t,,210002940
AASB30262,رف زاوية زوجي كروم,ليمكس,LY2094,اكسسوارات,f592fa51-d431-40c9-f38d-39cdf4092eb2,105.000,200.000,t,,210003757
VS10187,حوض وجه معلق -50 سم,تركواز سيراستايل,DURU,حوض وجه معلق,3ef761c8-d645-a9c8-47dc-960089e79b35,212.000,320.000,t,,210002891
MD20024,خلاط دوش كروم,شيزا,MELLOW,خلاط دوش,3f8e1d44-c2e4-cecd-ff29-48dc418eba21,198.000,320.000,t,,310002638
MLE40016,خلاط حوض وجه مدفون مع مَصَب ذهبي,فرامو,HO244ORO,خلاط حوض وجه مدفون,3371605a-058e-4bf1-07a5-d157c54ae58f,1250.000,1550.000,t,,310002692
WS10595,مقعد معلق رايملس مموج أبيض,ب.أمور,SH-088,مقعد معلق,56855bde-1190-92a2-afb0-419a9650977f,420.000,720.000,t,,310003702
RA20469,"سنيسكا 25"" اسود دائري",الجودة,بي بي ر - PPR,سنيسكا,95d22529-eb35-a000-949b-cc311fec737c,68.000,120.000,t,,210004996
PA30451,شنطة مسمار,اي بي سي,AC18896,شد برغي,4db58ef5-0e02-ae07-fc14-5629c40b7689,25.000,40.000,t,,210003962
VS10759,حوض وجه معلق -100 سم,لابينو,2100,حوض وجه معلق,e47ac07e-2763-bc83-6cf2-c39bb577a1f9,452.000,700.000,t,,310004159
PE30274,لصقة مع مجفف 300 مل,أويستار,,المواد اللاصقة و العازلة,f330aa66-9a8a-90ee-d535-6c68ff14b0de,15.250,20.000,t,,210004695
PE30345,مقص عنب,اي بي سي,AC18736,مقص عنب,4db58ef5-0e02-ae07-fc14-5629c40b7689,19.500,35.000,t,,210003849
RA30545,قفل باب رئيسي,الشركة العالمية للتصدير و الإستيراد,DAF 540.14-3M,قفل باب,4db58ef5-0e02-ae07-fc14-5629c40b7689,57.000,100.000,t,,210004062
PD20437,حاجز دوش 10 مم اطار كروم منقط 80 سم,ليسو,ZW004,حاجز دوش,f68c4a72-8eb2-7563-07ad-b344ff9fe960,480.000,650.000,t,,210003198
CE10473,سخانة 80 لتر,اكوالينا,,سخانة,f330aa66-9a8a-90ee-d535-6c68ff14b0de,510.000,560.000,t,,210005001
ARSB85300,رشاش دوش كروم,اي ار بي,002,كسكاس دوش,51882a69-3ac9-cde2-37e3-64e2b7daae96,160.000,150.000,t,,210004856
ML30936,مرايا حمام مع إضاءة لد كريستال 60*80سم,ديولو,DIOLLO 040,مراية مضيئة,b254c840-e3dc-aa50-45cc-22c1a82f1d9d,135.000,210.000,t,,310004406
MC10802,مجرى 30 سم *6 سم كروم,فيرونا,SP530,مجرى,f68c4a72-8eb2-7563-07ad-b344ff9fe960,105.000,180.000,t,,310003423
VS10156,حوض وجه معلق 85 سم,تركواز سيراستايل,PORTO,حوض وجه معلق,3ef761c8-d645-a9c8-47dc-960089e79b35,310.000,450.000,t,,310003232
MD20926,خلاط دوش مع سماعة كروم,أيولي,9510 VIDA,خلاط دوش,9a9f39af-a0d0-6a64-969d-7baa03e28c4f,310.000,480.000,t,,310004050
ELC2395,قرجوطة 16مم *50 م,فاندي,F0021,قراجيط الكهرباء,06d20f1c-34a0-e014-64db-92734ce57411,25.000,30.000,t,,210004219
ARSB81068,كسكاس دوش مربع 300*300 مم كروم,سانيتاري واير,3471,كسكاس دوش,95d22529-eb35-a000-949b-cc311fec737c,49.000,150.000,t,,310004539
PLSA0814,"وصلة مخفض خلاط دوش ""3/8 ذكر × ""1/2 ذكر كروم",سانيتاري ويرز,,وصلة,51882a69-3ac9-cde2-37e3-64e2b7daae96,1.150,10.000,t,,310003931
RA20017,"وصلة 25* 3/4"" سن خارجي",فرات,بي بي ر - PPR,وصلة,1054307a-87a0-d4d2-fe16-bd905fe6a04b,6.508,15.000,t,,210003293
PA30146,ڨلوني 20 لتر,الشركة العالمية للتصدير و الإستيراد,,قطع غيار واكسسوارات معدات الحديقة,06d20f1c-34a0-e014-64db-92734ce57411,5.000,7.500,t,,210003639
AASB30122,رف فردي 50 سم,جي اف مارك,3511-1Y,اكسسوارات,60d7d8a2-1083-abe4-d894-b1c7f3235d40,75.000,120.000,t,,310002971
PA30404,"فرشة صاروخ نحاس  4"" 100 مم",اي بي سي,AC19109,أقراص الصنفرة,4db58ef5-0e02-ae07-fc14-5629c40b7689,5.100,15.000,t,,210003915
MDE50046,خلاط دوش مدفون كروم,توريما,8Q01011-090,خلاط دوش مدفون,f9f6d83d-5b9d-2d22-c42a-21b487031fad,295.000,450.000,t,,210002776
AM0690,دولاب حمام مع حوض وجه 80 سم,بن أمور,T305-8046,دولاب حمام,ac78bb51-d153-70a3-ad89-bdb50a8537eb,500.000,1000.000,t,,310003798
AASB30197,موزع صابون حساس كروم,بضائع أوروبية,RUBBERMAID,اكسسوارات,081276dc-6952-a613-dc62-614b51522ad0,45.000,90.000,t,,310003056
MA20080,خلاط حوض المطبخ سحاب كروم,يولي,JR031-35,خلاط حوض المطبخ سحاب,f68c4a72-8eb2-7563-07ad-b344ff9fe960,245.000,400.000,t,,310002764
MT30786,خلاط شطاف مع شطاف كروم,ليسو,JR085-6C,خلاط شطاف,f68c4a72-8eb2-7563-07ad-b344ff9fe960,98.000,170.000,t,,310004199
PA30374,كستولة,الشركة العالمية للتصدير و الإستيراد,,مجرفة مغلفة,4db58ef5-0e02-ae07-fc14-5629c40b7689,10.500,20.000,t,,210003885
EL50534,قاعدة مكيف ابوفارس,الشركة العالمية للتصدير و الإستيراد,,ملحقات الكهرباء,f330aa66-9a8a-90ee-d535-6c68ff14b0de,43.500,75.000,t,,210005068
PE30476,شفاط خشبي,ABM,L6,مثقاب كهربائي,dc6e5eb0-a2c4-7fc8-161c-528f389f29cc,79.500,160.000,t,,210005004
ARSB80384,كسكاس دوش دائري 200 مم مع قصبة كروم,موباكس,DAS-595,كسكاس دوش,f68c4a72-8eb2-7563-07ad-b344ff9fe960,79.000,150.000,t,,310002841
SA10313,طقم اكسسوار كروم,ليسو,2664,طقم اكسسوارات,f68c4a72-8eb2-7563-07ad-b344ff9fe960,240.000,350.000,t,,210003810
PA30478,بينسة رقم 7,اي بي سي,AC18796,مفك البراغي يدوي,4db58ef5-0e02-ae07-fc14-5629c40b7689,12.250,20.000,t,,210003994
ARSB80803,كسكاس دوش دائري 200 مم مع قصبة ذهبي,فرامو,PA211ORO,كسكاس دوش,f9f6d83d-5b9d-2d22-c42a-21b487031fad,650.000,650.000,t,,310004155
ARSB80788,وجه خلاط دوش مدفون اسود,غروهي,KM-6-10,ملحقات خلاط,f68c4a72-8eb2-7563-07ad-b344ff9fe960,175.000,300.000,t,,310003826
ARSB80733,كسكاس دوش مربع 250*250 مم ذهبي,ديولو,,كسكاس دوش,b254c840-e3dc-aa50-45cc-22c1a82f1d9d,52.000,100.000,t,,310003845
ML10626,خلاط حوض وجه  رصاصي,بن أمور,huang crown,خلاط حوض وجه,ac78bb51-d153-70a3-ad89-bdb50a8537eb,80.000,150.000,t,,310003734
CE11002,سخانة 50 لتر أفقية,تيسي,HORIZONTAL-TESY-50,سخانة,51882a69-3ac9-cde2-37e3-64e2b7daae96,895.000,1080.000,t,,310004473
ML30129,مرايا حمام مع إضاءة لد 50*70 سم,سانيتاري ويرز,ML-22,مراية مضيئة,f68c4a72-8eb2-7563-07ad-b344ff9fe960,87.000,140.000,t,,310003205
ARSB80929,شطاف ظغط دائري مع طوبو كروم,ليسو,1138,شطاف,f68c4a72-8eb2-7563-07ad-b344ff9fe960,68.000,150.000,t,,310004054
ARSB80381,كسكاس دوش دائري 250 مم كروم,سانيتاري ويرز,,كسكاس دوش,f68c4a72-8eb2-7563-07ad-b344ff9fe960,65.000,130.000,t,,310002839
PE30317,استوك 4 كغ,شركة الحيرة لدهانات,معون الحيرة,استوك,cbc8158a-9b45-9705-3f1d-05cad25ac2d7,15.000,20.000,t,,210004743
PA30137,قفل طلقة 90 مم,الشركة العالمية للتصدير و الإستيراد,NTB CAD84,قفل باب,4db58ef5-0e02-ae07-fc14-5629c40b7689,35.000,55.000,t,,210003630
